id,control,Low,Moderate,High
AC-1,Access Control Policy and Procedures,AC-1,AC-1,AC-1
AC-2,Account Management,AC-2,AC-2 (1) (2) (3) (4) (5) (7) (9) (10) (12),AC-2 (1) (2) (3) (4) (5) (7) (9) (10) (11) (12) (13)
AC-3,Access Enforcement,AC-3,AC-3,AC-3
AC-4,Information Flow Enforcement,NA,AC-4 (21),AC-4 (8) (21)
AC-5,Separation of Duties,NA,AC-5,AC-5
AC-6,Least Privilege,NA,AC-6 (1) (2) (5) (9) (10) ,AC-6 (1) (2) (3) (5) (7) (8) (9) (10)
AC-7,Unsuccessful Logon Attempts,AC-7,AC-7,AC-7 (2)
AC-8,System Use Notification,AC-8,AC-8,AC-8
AC-10,Concurrent Session Control,NA,AC-10,AC-10
AC-11,Session Lock,NA,AC-11 (1),AC-11 (1)
AC-12,Session Termination,NA,AC-12,AC-12 (1)
AC-14,Permitted Actions Without Identification or Authentication,AC-14,AC-14,AC-14
AC-17,Remote Access,AC-17,AC-17 (1) (2) (3) (4) (9),AC-17 (1) (2) (3) (4) (9)
AC-18,Wireless Access,AC-18,AC-18 (1),AC-18 (1) (3) (4) (5)
AC-19,Access Control For Mobile Devices,AC-19,AC-19 (5),AC-19 (5)
AC-20,Use of External Information Systems,AC-20,AC-20 (1) (2),AC-20 (1) (2)
AC-21,Information Sharing,NA,AC-21,AC-21
AC-22,Publicly Accessible Content,AC-22,AC-22,AC-22
AT-1,Security Awareness and Training Policy and Procedures,AT-1,AT-1,AT-1
AT-2,Security Awareness Training,AT-2,AT-2 (2),AT-2 (2)
AT-3,Role-Based Security Training,AT-3,AT-3 ,AT-3 (3) (4)
AT-4,Security Training Records,AT-4,AT-4,AT-4
AU-1,Audit and Accountability Policy and Procedures,AU-1,AU-1,AU-1
AU-2,Audit Events,AU-2,AU-2 (3),AU-2 (3)
AU-3,Content of Audit Records,AU-3,AU-3 (1),AU-3 (1) (2)
AU-4,Audit Storage Capacity,AU-4,AU-4,AU-4
AU-5,Response to Audit Processing Failures,AU-5,AU-5,AU-5 (1) (2)
AU-6,"Audit Review, Analysis and Reporting",AU-6,AU-6 (1) (3),AU-6 (1) (3) (4) (5) (6) (7) (10)
AU-7,Audit Reduction and Report Generation,NA,AU-7 (1),AU-7 (1)
AU-8,Time Stamps,AU-8,AU-8 (1),AU-8 (1)
AU-9,Protection of Audit Information,AU-9,AU-9 (2) (4),AU-9 (2) (3) (4)
AU-10,Non-repudiation,NA,NA,AU-10
AU-11,Audit Record Retention,AU-11,AU-11,AU-11
AU-12,Audit Generation,AU-12,AU-12,AU-12 (1) (3)
CA-1,Security Assessment and Authorization Policies and Procedures,CA-1,CA-1,CA-1
CA-2,Security Assessments,CA-2 (1),CA-2 (1) (2) (3),CA-2 (1) (2) (3)
CA-3,System Interconnections,CA-3,CA-3 (3) (5),CA-3 (3) (5)
CA-5,Plan of Action and Milestones,CA-5,CA-5,CA-5
CA-6,Security Authorization,CA-6,CA-6,CA-6
CA-7,Continuous Monitoring,CA-7,CA-7 (1),CA-7 (1) (3)
CA-8,Penetration Testing,NA,CA-8 (1),CA-8 (1)
